bookmaker,league,market,subject,label,line,odds,impl_prb
Fliff,NCAAB,Steals,David Joplin,Over,1.5,2.35,0.4255
Fliff,NCAAB,Steals,David Joplin,Under,1.5,1.48,0.6757
Dabble,NCAAB,Steals,Ryan Kalkbrenner,Over,0.5,1.83,0.5464
PrizePicks,NCAAB,Steals,Ryan Kalkbrenner,Over,0.5,1.85,0.5405
Underdog,NCAAB,Steals,Ryan Kalkbrenner,Over,0.5,1.82,0.5495
Fliff,NCAAB,Steals,Ryan Kalkbrenner,Over,0.5,1.87,0.5348
Dabble,NCAAB,Steals,Ryan Kalkbrenner,Under,0.5,1.83,0.5464
PrizePicks,NCAAB,Steals,Ryan Kalkbrenner,Under,0.5,1.85,0.5405
Underdog,NCAAB,Steals,Ryan Kalkbrenner,Under,0.5,1.82,0.5495
Fliff,NCAAB,Steals,Ryan Kalkbrenner,Under,0.5,1.77,0.565
Dabble,NCAAB,Steals,Ben Gold,Over,0.5,1.83,0.5464
PrizePicks,NCAAB,Steals,Ben Gold,Over,0.5,1.85,0.5405
Underdog,NCAAB,Steals,Ben Gold,Over,0.5,1.82,0.5495
Fliff,NCAAB,Steals,Ben Gold,Over,0.5,1.83,0.5464
Dabble,NCAAB,Steals,Ben Gold,Under,0.5,1.83,0.5464
PrizePicks,NCAAB,Steals,Ben Gold,Under,0.5,1.85,0.5405
Underdog,NCAAB,Steals,Ben Gold,Under,0.5,1.82,0.5495
Fliff,NCAAB,Steals,Ben Gold,Under,0.5,1.8,0.5556
Fliff,NCAAB,Steals,Steven Ashworth,Over,0.5,1.59,0.6289
Fliff,NCAAB,Steals,Steven Ashworth,Under,0.5,2.1,0.4762
Fliff,NCAAB,Steals,Jamiya Neal,Over,0.5,1.71,0.5848
Fliff,NCAAB,Steals,Jamiya Neal,Under,0.5,1.91,0.5236
Fliff,NCAAB,Steals,Jackson McAndrew,Over,0.5,2.2,0.4545
Fliff,NCAAB,Steals,Jackson McAndrew,Under,0.5,1.56,0.641
HardRock,NCAAB,Points + Rebounds,Ryan Conwell,Over,20.5,1.91,0.5236
Dabble,NCAAB,Points + Rebounds,Ryan Conwell,Over,20.0,1.83,0.5464
HardRock,NCAAB,Points + Rebounds,Ryan Conwell,Under,20.5,1.8,0.5556
Dabble,NCAAB,Points + Rebounds,Ryan Conwell,Under,20.0,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Dayvion McKnight,Over,15.5,1.83,0.5464
HardRock,NCAAB,Points + Rebounds,Dayvion McKnight,Over,15.5,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Dayvion McKnight,Under,15.5,1.83,0.5464
HardRock,NCAAB,Points + Rebounds,Dayvion McKnight,Under,15.5,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Marcus Foster,Over,15.0,1.83,0.5464
HardRock,NCAAB,Points + Rebounds,Marcus Foster,Over,14.5,1.77,0.565
Dabble,NCAAB,Points + Rebounds,Marcus Foster,Under,15.0,1.83,0.5464
HardRock,NCAAB,Points + Rebounds,Marcus Foster,Under,14.5,1.91,0.5236
Dabble,NCAAB,Points + Rebounds,Dailyn Swain,Over,14.5,1.83,0.5464
HardRock,NCAAB,Points + Rebounds,Dailyn Swain,Over,14.5,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Dailyn Swain,Under,14.5,1.83,0.5464
HardRock,NCAAB,Points + Rebounds,Dailyn Swain,Under,14.5,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Jerome Hunter,Over,14.5,1.83,0.5464
HardRock,NCAAB,Points + Rebounds,Jerome Hunter,Over,14.5,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Jerome Hunter,Under,14.5,1.83,0.5464
HardRock,NCAAB,Points + Rebounds,Jerome Hunter,Under,14.5,1.87,0.5348
Dabble,NCAAB,Points + Rebounds,Kam Jones,Over,27.5,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Kam Jones,Over,27.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Kam Jones,Over,27.5,1.8,0.5556
Dabble,NCAAB,Points + Rebounds,Kam Jones,Under,27.5,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Kam Jones,Under,27.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Kam Jones,Under,27.5,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Ryan Kalkbrenner,Over,24.5,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Ryan Kalkbrenner,Over,24.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Ryan Kalkbrenner,Over,24.5,1.8,0.5556
Dabble,NCAAB,Points + Rebounds,Ryan Kalkbrenner,Under,24.5,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Ryan Kalkbrenner,Under,24.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Ryan Kalkbrenner,Under,24.5,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Robbie Avila,Over,24.0,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Robbie Avila,Under,24.0,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Rasheer Fleming,Over,22.5,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Rasheer Fleming,Under,22.5,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Gibson Jimerson,Over,22.0,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Gibson Jimerson,Under,22.0,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Erik Reynolds II,Over,22.0,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Erik Reynolds II,Under,22.0,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Steven Ashworth,Over,20.5,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Steven Ashworth,Over,20.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Steven Ashworth,Over,20.5,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Steven Ashworth,Under,20.5,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Steven Ashworth,Under,20.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Steven Ashworth,Under,20.5,1.8,0.5556
PrizePicks,NCAAB,Points + Rebounds,David Joplin,Over,20.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,David Joplin,Over,20.5,1.87,0.5348
Dabble,NCAAB,Points + Rebounds,David Joplin,Over,20.0,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,David Joplin,Under,20.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,David Joplin,Under,20.5,1.77,0.565
Dabble,NCAAB,Points + Rebounds,David Joplin,Under,20.0,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Isaiah Swope,Over,20.0,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Isaiah Swope,Under,20.0,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Stevie Mitchell,Over,17.5,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Stevie Mitchell,Over,17.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Stevie Mitchell,Over,17.5,1.83,0.5464
Dabble,NCAAB,Points + Rebounds,Stevie Mitchell,Under,17.5,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Stevie Mitchell,Under,17.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Stevie Mitchell,Under,17.5,1.8,0.5556
PrizePicks,NCAAB,Points + Rebounds,Jamiya Neal,Over,17.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Jamiya Neal,Over,17.5,1.91,0.5236
Dabble,NCAAB,Points + Rebounds,Jamiya Neal,Over,17.0,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Jamiya Neal,Under,17.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Jamiya Neal,Under,17.5,1.74,0.5747
Dabble,NCAAB,Points + Rebounds,Jamiya Neal,Under,17.0,1.83,0.5464
Fliff,NCAAB,Points + Rebounds,Chase Ross,Over,14.5,1.95,0.5128
Dabble,NCAAB,Points + Rebounds,Chase Ross,Over,14.0,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Chase Ross,Over,14.0,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Chase Ross,Under,14.5,1.69,0.5917
Dabble,NCAAB,Points + Rebounds,Chase Ross,Under,14.0,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Chase Ross,Under,14.0,1.85,0.5405
Dabble,NCAAB,Points + Rebounds,Jackson McAndrew,Over,12.5,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Jackson McAndrew,Over,12.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Jackson McAndrew,Over,12.5,1.77,0.565
Dabble,NCAAB,Points + Rebounds,Jackson McAndrew,Under,12.5,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Jackson McAndrew,Under,12.5,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Jackson McAndrew,Under,12.5,1.87,0.5348
Fliff,NCAAB,Points + Rebounds,Ben Gold,Over,12.5,1.95,0.5128
Dabble,NCAAB,Points + Rebounds,Ben Gold,Over,12.0,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Ben Gold,Over,12.0,1.85,0.5405
Fliff,NCAAB,Points + Rebounds,Ben Gold,Under,12.5,1.71,0.5848
Dabble,NCAAB,Points + Rebounds,Ben Gold,Under,12.0,1.83,0.5464
PrizePicks,NCAAB,Points + Rebounds,Ben Gold,Under,12.0,1.85,0.5405
Fanatics,NBA,Top Point Scorer,Jakob Poeltl,Jakob Poeltl,0.5,23.0,0.0435
Fanatics,NBA,Top Point Scorer,Immanuel Quickley,Immanuel Quickley,0.5,5.75,0.1739
Fanatics,NBA,Top Point Scorer,Goga Bitadze,Goga Bitadze,0.5,19.0,0.0526
Fanatics,NBA,Top Point Scorer,Jalen Suggs,Jalen Suggs,0.5,2.45,0.4082
Fanatics,NBA,Top Point Scorer,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,0.5,21.0,0.0476
Fanatics,NBA,Top Point Scorer,RJ Barrett,RJ Barrett,0.5,4.5,0.2222
Fanatics,NBA,Top Point Scorer,Tristan Da Silva,Tristan Da Silva,0.5,16.0,0.0625
Fanatics,NBA,Top Point Scorer,Scottie Barnes,Scottie Barnes,0.5,4.75,0.2105
FanDuel,NBA,Top Point Scorer,Carlton Carrington,Carlton Carrington,0.5,101.0,0.0099
BetRivers,NBA,Top Point Scorer,Carlton Carrington,Carlton Carrington,0.5,101.0,0.0099
SugarHouse,NBA,Top Point Scorer,Carlton Carrington,Carlton Carrington,0.5,101.0,0.0099
Unibet,NBA,Top Point Scorer,Carlton Carrington,Carlton Carrington,0.5,101.0,0.0099
FanDuel,NBA,Top Point Scorer,Luguentz Dort,Luguentz Dort,0.5,101.0,0.0099
BetRivers,NBA,Top Point Scorer,Luguentz Dort,Luguentz Dort,0.5,101.0,0.0099
Unibet,NBA,Top Point Scorer,Luguentz Dort,Luguentz Dort,0.5,101.0,0.0099
SugarHouse,NBA,Top Point Scorer,Luguentz Dort,Luguentz Dort,0.5,101.0,0.0099
FanDuel,NBA,Top Point Scorer,Cason Wallace,Cason Wallace,0.5,101.0,0.0099
BetRivers,NBA,Top Point Scorer,Cason Wallace,Cason Wallace,0.5,101.0,0.0099
Unibet,NBA,Top Point Scorer,Cason Wallace,Cason Wallace,0.5,101.0,0.0099
SugarHouse,NBA,Top Point Scorer,Cason Wallace,Cason Wallace,0.5,101.0,0.0099
Fanatics,NBA,Top Point Scorer,Jalen Green,Jalen Green,0.5,8.5,0.1176
BetRivers,NBA,Top Point Scorer,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,0.5,1.72,0.5814
Unibet,NBA,Top Point Scorer,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,0.5,1.72,0.5814
SugarHouse,NBA,Top Point Scorer,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,0.5,1.72,0.5814
Fanatics,NBA,Top Point Scorer,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,0.5,1.69,0.5917
FanDuel,NBA,Top Point Scorer,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,0.5,1.77,0.565
BetRivers,NBA,Top Point Scorer,Isaiah Hartenstein,Isaiah Hartenstein,0.5,101.0,0.0099
Unibet,NBA,Top Point Scorer,Isaiah Hartenstein,Isaiah Hartenstein,0.5,101.0,0.0099
SugarHouse,NBA,Top Point Scorer,Isaiah Hartenstein,Isaiah Hartenstein,0.5,101.0,0.0099
FanDuel,NBA,Top Point Scorer,Isaiah Hartenstein,Isaiah Hartenstein,0.5,101.0,0.0099
BetRivers,NBA,Top Point Scorer,Jalen Williams,Jalen Williams,0.5,9.0,0.1111
Unibet,NBA,Top Point Scorer,Jalen Williams,Jalen Williams,0.5,9.0,0.1111
SugarHouse,NBA,Top Point Scorer,Jalen Williams,Jalen Williams,0.5,9.0,0.1111
Fanatics,NBA,Top Point Scorer,Jalen Williams,Jalen Williams,0.5,8.5,0.1176
FanDuel,NBA,Top Point Scorer,Jalen Williams,Jalen Williams,0.5,8.5,0.1176
BetRivers,NBA,Top Point Scorer,OG Anunoby,OG Anunoby,0.5,31.0,0.0323
Unibet,NBA,Top Point Scorer,OG Anunoby,OG Anunoby,0.5,31.0,0.0323
Fanatics,NBA,Top Point Scorer,OG Anunoby,OG Anunoby,0.5,23.0,0.0435
SugarHouse,NBA,Top Point Scorer,OG Anunoby,OG Anunoby,0.5,31.0,0.0323
FanDuel,NBA,Top Point Scorer,OG Anunoby,OG Anunoby,0.5,29.0,0.0345
BetRivers,NBA,Top Point Scorer,Mikal Bridges,Mikal Bridges,0.5,13.0,0.0769
Unibet,NBA,Top Point Scorer,Mikal Bridges,Mikal Bridges,0.5,13.0,0.0769
SugarHouse,NBA,Top Point Scorer,Mikal Bridges,Mikal Bridges,0.5,13.0,0.0769
Fanatics,NBA,Top Point Scorer,Mikal Bridges,Mikal Bridges,0.5,15.0,0.0667
FanDuel,NBA,Top Point Scorer,Mikal Bridges,Mikal Bridges,0.5,18.0,0.0556
BetRivers,NBA,Top Point Scorer,Jalen Brunson,Jalen Brunson,0.5,4.5,0.2222
Unibet,NBA,Top Point Scorer,Jalen Brunson,Jalen Brunson,0.5,4.5,0.2222
SugarHouse,NBA,Top Point Scorer,Jalen Brunson,Jalen Brunson,0.5,4.5,0.2222
Fanatics,NBA,Top Point Scorer,Jalen Brunson,Jalen Brunson,0.5,4.75,0.2105
FanDuel,NBA,Top Point Scorer,Jalen Brunson,Jalen Brunson,0.5,5.0,0.2
BetRivers,NBA,Top Point Scorer,Josh Hart,Josh Hart,0.5,81.0,0.0123
Unibet,NBA,Top Point Scorer,Josh Hart,Josh Hart,0.5,81.0,0.0123
SugarHouse,NBA,Top Point Scorer,Josh Hart,Josh Hart,0.5,81.0,0.0123
FanDuel,NBA,Top Point Scorer,Josh Hart,Josh Hart,0.5,101.0,0.0099
BetRivers,NBA,Top Point Scorer,Karl-Anthony Towns,Karl-Anthony Towns,0.5,6.5,0.1538
Unibet,NBA,Top Point Scorer,Karl-Anthony Towns,Karl-Anthony Towns,0.5,6.5,0.1538
SugarHouse,NBA,Top Point Scorer,Karl-Anthony Towns,Karl-Anthony Towns,0.5,6.5,0.1538
FanDuel,NBA,Top Point Scorer,Karl-Anthony Towns,Karl-Anthony Towns,0.5,6.0,0.1667
Fanatics,NBA,Top Point Scorer,Karl-Anthony Towns,Karl-Anthony Towns,0.5,5.75,0.1739
BetRivers,NBA,Top Point Scorer,Herbert Jones,Herbert Jones,0.5,41.0,0.0244
SugarHouse,NBA,Top Point Scorer,Herbert Jones,Herbert Jones,0.5,41.0,0.0244
Unibet,NBA,Top Point Scorer,Herbert Jones,Herbert Jones,0.5,41.0,0.0244
FanDuel,NBA,Top Point Scorer,Herbert Jones,Herbert Jones,0.5,71.0,0.0141
BetRivers,NBA,Top Point Scorer,C.J. McCollum,C.J. McCollum,0.5,3.5,0.2857
SugarHouse,NBA,Top Point Scorer,C.J. McCollum,C.J. McCollum,0.5,3.5,0.2857
Unibet,NBA,Top Point Scorer,C.J. McCollum,C.J. McCollum,0.5,3.5,0.2857
FanDuel,NBA,Top Point Scorer,C.J. McCollum,C.J. McCollum,0.5,3.5,0.2857
Fanatics,NBA,Top Point Scorer,C.J. McCollum,C.J. McCollum,0.5,3.2,0.3125
BetRivers,NBA,Top Point Scorer,Yves Missi,Yves Missi,0.5,41.0,0.0244
SugarHouse,NBA,Top Point Scorer,Yves Missi,Yves Missi,0.5,41.0,0.0244
Unibet,NBA,Top Point Scorer,Yves Missi,Yves Missi,0.5,41.0,0.0244
FanDuel,NBA,Top Point Scorer,Yves Missi,Yves Missi,0.5,61.0,0.0164
BetRivers,NBA,Top Point Scorer,Trey Murphy III,Trey Murphy III,0.5,3.0,0.3333
SugarHouse,NBA,Top Point Scorer,Trey Murphy III,Trey Murphy III,0.5,3.0,0.3333
Unibet,NBA,Top Point Scorer,Trey Murphy III,Trey Murphy III,0.5,3.0,0.3333
FanDuel,NBA,Top Point Scorer,Trey Murphy III,Trey Murphy III,0.5,3.4,0.2941
Fanatics,NBA,Top Point Scorer,Trey Murphy III,Trey Murphy III,0.5,3.2,0.3125
BetRivers,NBA,Top Point Scorer,Dejounte Murray,Dejounte Murray,0.5,6.0,0.1667
SugarHouse,NBA,Top Point Scorer,Dejounte Murray,Dejounte Murray,0.5,6.0,0.1667
Unibet,NBA,Top Point Scorer,Dejounte Murray,Dejounte Murray,0.5,6.0,0.1667
Fanatics,NBA,Top Point Scorer,Dejounte Murray,Dejounte Murray,0.5,6.0,0.1667
FanDuel,NBA,Top Point Scorer,Dejounte Murray,Dejounte Murray,0.5,6.5,0.1538
BetRivers,NBA,Top Point Scorer,Justin Champagnie,Justin Champagnie,0.5,81.0,0.0123
SugarHouse,NBA,Top Point Scorer,Justin Champagnie,Justin Champagnie,0.5,81.0,0.0123
Unibet,NBA,Top Point Scorer,Justin Champagnie,Justin Champagnie,0.5,81.0,0.0123
BetRivers,NBA,Top Point Scorer,Kyle Kuzma,Kyle Kuzma,0.5,21.0,0.0476
SugarHouse,NBA,Top Point Scorer,Kyle Kuzma,Kyle Kuzma,0.5,21.0,0.0476
Unibet,NBA,Top Point Scorer,Kyle Kuzma,Kyle Kuzma,0.5,21.0,0.0476
Fanatics,NBA,Top Point Scorer,Kyle Kuzma,Kyle Kuzma,0.5,16.0,0.0625
FanDuel,NBA,Top Point Scorer,Kyle Kuzma,Kyle Kuzma,0.5,22.0,0.0455
BetRivers,NBA,Top Point Scorer,Jordan Poole,Jordan Poole,0.5,3.5,0.2857
SugarHouse,NBA,Top Point Scorer,Jordan Poole,Jordan Poole,0.5,3.5,0.2857
