bookmaker,league,market,subject,label,line,odds,impl_prb
FanDuel,NBA,Rebounds,Immanuel Quickley,Under,3.5,2.24,0.4464
Fliff,NBA,Rebounds,Immanuel Quickley,Under,3.5,2.15,0.4651
Caesars,NBA,Rebounds,Immanuel Quickley,Under,3.5,2.16,0.463
ESPNBet,NBA,Rebounds,Immanuel Quickley,Under,3.5,2.2,0.4545
BetMGM,NBA,Rebounds,Immanuel Quickley,Under,3.5,2.2,0.4545
HardRock,NBA,Rebounds,Immanuel Quickley,Under,3.5,2.15,0.4651
BetOnline,NBA,Rebounds,Immanuel Quickley,Under,3.5,2.15,0.4651
Sleeper,NBA,Rebounds,Gradey Dick,Over,3.5,1.9,0.5263
PrizePicks,NBA,Rebounds,Gradey Dick,Over,3.5,1.85,0.5405
Caesars,NBA,Rebounds,Gradey Dick,Over,3.5,2.0,0.5
Fliff,NBA,Rebounds,Gradey Dick,Over,3.5,1.91,0.5236
FanDuel,NBA,Rebounds,Gradey Dick,Over,3.5,2.05,0.4878
BetMGM,NBA,Rebounds,Gradey Dick,Over,3.5,2.0,0.5
BetRivers,NBA,Rebounds,Gradey Dick,Over,3.5,1.97,0.5076
Unibet,NBA,Rebounds,Gradey Dick,Over,3.5,1.97,0.5076
SugarHouse,NBA,Rebounds,Gradey Dick,Over,3.5,1.97,0.5076
DraftKings,NBA,Rebounds,Gradey Dick,Over,3.5,2.05,0.4878
ESPNBet,NBA,Rebounds,Gradey Dick,Over,3.5,2.0,0.5
HardRock,NBA,Rebounds,Gradey Dick,Over,3.5,1.95,0.5128
BetOnline,NBA,Rebounds,Gradey Dick,Over,3.5,2.0,0.5
Sleeper,NBA,Rebounds,Gradey Dick,Under,3.5,1.65,0.6061
PrizePicks,NBA,Rebounds,Gradey Dick,Under,3.5,1.85,0.5405
Caesars,NBA,Rebounds,Gradey Dick,Under,3.5,1.73,0.578
Fliff,NBA,Rebounds,Gradey Dick,Under,3.5,1.71,0.5848
FanDuel,NBA,Rebounds,Gradey Dick,Under,3.5,1.77,0.565
ESPNBet,NBA,Rebounds,Gradey Dick,Under,3.5,1.8,0.5556
BetMGM,NBA,Rebounds,Gradey Dick,Under,3.5,1.78,0.5618
BetRivers,NBA,Rebounds,Gradey Dick,Under,3.5,1.78,0.5618
Unibet,NBA,Rebounds,Gradey Dick,Under,3.5,1.78,0.5618
SugarHouse,NBA,Rebounds,Gradey Dick,Under,3.5,1.78,0.5618
DraftKings,NBA,Rebounds,Gradey Dick,Under,3.5,1.74,0.5747
HardRock,NBA,Rebounds,Gradey Dick,Under,3.5,1.74,0.5747
BetOnline,NBA,Rebounds,Gradey Dick,Under,3.5,1.77,0.565
Sleeper,NBA,Rebounds,Kentavious Caldwell-Pope,Over,2.5,2.18,0.4587
Fliff,NBA,Rebounds,Kentavious Caldwell-Pope,Over,2.5,2.05,0.4878
Caesars,NBA,Rebounds,Kentavious Caldwell-Pope,Over,2.5,2.26,0.4425
DraftKings,NBA,Rebounds,Kentavious Caldwell-Pope,Over,2.5,2.45,0.4082
ESPNBet,NBA,Rebounds,Kentavious Caldwell-Pope,Over,2.5,2.25,0.4444
BetMGM,NBA,Rebounds,Kentavious Caldwell-Pope,Over,2.5,2.1,0.4762
HardRock,NBA,Rebounds,Kentavious Caldwell-Pope,Over,2.5,2.05,0.4878
BetOnline,NBA,Rebounds,Kentavious Caldwell-Pope,Over,2.5,2.28,0.4386
Sleeper,NBA,Rebounds,Kentavious Caldwell-Pope,Under,2.5,1.46,0.6849
Fliff,NBA,Rebounds,Kentavious Caldwell-Pope,Under,2.5,1.62,0.6173
Caesars,NBA,Rebounds,Kentavious Caldwell-Pope,Under,2.5,1.57,0.6369
DraftKings,NBA,Rebounds,Kentavious Caldwell-Pope,Under,2.5,1.53,0.6536
ESPNBet,NBA,Rebounds,Kentavious Caldwell-Pope,Under,2.5,1.59,0.6289
BetMGM,NBA,Rebounds,Kentavious Caldwell-Pope,Under,2.5,1.67,0.5988
HardRock,NBA,Rebounds,Kentavious Caldwell-Pope,Under,2.5,1.67,0.5988
BetOnline,NBA,Rebounds,Kentavious Caldwell-Pope,Under,2.5,1.6,0.625
PrizePicks,NBA,Rebounds,Karl-Anthony Towns,Over,14.0,1.85,0.5405
Dabble,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.83,0.5464
Sleeper,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.66,0.6024
Caesars,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.77,0.565
Unibet,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.72,0.5814
BetMGM,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.83,0.5464
SugarHouse,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.72,0.5814
ESPNBet,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.77,0.565
HardRock,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.65,0.6061
FanDuel,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.74,0.5747
DraftKings,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.77,0.565
Fliff,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.71,0.5848
BetRivers,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.72,0.5814
BetOnline,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.74,0.5747
Bovada,NBA,Rebounds,Karl-Anthony Towns,Over,13.5,1.69,0.5917
PrizePicks,NBA,Rebounds,Karl-Anthony Towns,Under,14.0,1.85,0.5405
Dabble,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,1.83,0.5464
Sleeper,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,1.89,0.5291
Caesars,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,1.97,0.5076
Unibet,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,2.05,0.4878
BetMGM,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,1.9,0.5263
SugarHouse,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,2.05,0.4878
ESPNBet,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,2.0,0.5
HardRock,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,2.1,0.4762
DraftKings,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,2.0,0.5
Fliff,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,1.8,0.5556
BetRivers,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,2.05,0.4878
BetOnline,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,2.04,0.4902
Bovada,NBA,Rebounds,Karl-Anthony Towns,Under,13.5,2.1,0.4762
Sleeper,NBA,Rebounds,Alperen Sengün,Over,11.5,1.91,0.5236
Caesars,NBA,Rebounds,Alperen Sengün,Over,11.5,1.92,0.5208
DraftKings,NBA,Rebounds,Alperen Sengün,Over,11.5,2.1,0.4762
Dabble,NBA,Rebounds,Alperen Sengün,Over,11.0,1.83,0.5464
PrizePicks,NBA,Rebounds,Alperen Sengün,Over,11.0,1.85,0.5405
BetRivers,NBA,Rebounds,Alperen Sengün,Over,10.5,1.68,0.5952
FanDuel,NBA,Rebounds,Alperen Sengün,Over,10.5,1.74,0.5747
Unibet,NBA,Rebounds,Alperen Sengün,Over,10.5,1.68,0.5952
BetMGM,NBA,Rebounds,Alperen Sengün,Over,10.5,1.72,0.5814
SugarHouse,NBA,Rebounds,Alperen Sengün,Over,10.5,1.68,0.5952
ESPNBet,NBA,Rebounds,Alperen Sengün,Over,10.5,1.74,0.5747
HardRock,NBA,Rebounds,Alperen Sengün,Over,10.5,1.69,0.5917
Fliff,NBA,Rebounds,Alperen Sengün,Over,10.5,1.67,0.5988
Bovada,NBA,Rebounds,Alperen Sengün,Over,10.5,1.69,0.5917
Sleeper,NBA,Rebounds,Alperen Sengün,Under,11.5,1.65,0.6061
DraftKings,NBA,Rebounds,Alperen Sengün,Under,11.5,1.71,0.5848
Dabble,NBA,Rebounds,Alperen Sengün,Under,11.0,1.83,0.5464
PrizePicks,NBA,Rebounds,Alperen Sengün,Under,11.0,1.85,0.5405
BetRivers,NBA,Rebounds,Alperen Sengün,Under,10.5,2.1,0.4762
FanDuel,NBA,Rebounds,Alperen Sengün,Under,10.5,2.06,0.4854
Unibet,NBA,Rebounds,Alperen Sengün,Under,10.5,2.1,0.4762
BetMGM,NBA,Rebounds,Alperen Sengün,Under,10.5,2.05,0.4878
SugarHouse,NBA,Rebounds,Alperen Sengün,Under,10.5,2.1,0.4762
ESPNBet,NBA,Rebounds,Alperen Sengün,Under,10.5,2.05,0.4878
HardRock,NBA,Rebounds,Alperen Sengün,Under,10.5,2.0,0.5
Fliff,NBA,Rebounds,Alperen Sengün,Under,10.5,1.95,0.5128
Bovada,NBA,Rebounds,Alperen Sengün,Under,10.5,2.1,0.4762
Caesars,NBA,Rebounds,Yves Missi,Over,11.5,2.04,0.4902
ESPNBet,NBA,Rebounds,Yves Missi,Over,11.5,2.1,0.4762
Fliff,NBA,Rebounds,Yves Missi,Over,11.5,2.0,0.5
BetMGM,NBA,Rebounds,Yves Missi,Over,11.5,2.05,0.4878
Pinnacle,NBA,Rebounds,Yves Missi,Over,11.5,2.14,0.4673
Bovada,NBA,Rebounds,Yves Missi,Over,11.5,2.15,0.4651
BetOnline,NBA,Rebounds,Yves Missi,Over,11.5,2.1,0.4762
Dabble,NBA,Rebounds,Yves Missi,Over,11.0,1.83,0.5464
Sleeper,NBA,Rebounds,Yves Missi,Over,10.5,1.69,0.5917
PrizePicks,NBA,Rebounds,Yves Missi,Over,10.5,1.85,0.5405
Pick6,NBA,Rebounds,Yves Missi,Over,10.5,1.74,0.5747
SugarHouse,NBA,Rebounds,Yves Missi,Over,10.5,1.84,0.5435
BetRivers,NBA,Rebounds,Yves Missi,Over,10.5,1.84,0.5435
FanDuel,NBA,Rebounds,Yves Missi,Over,10.5,1.82,0.5495
Unibet,NBA,Rebounds,Yves Missi,Over,10.5,1.84,0.5435
DraftKings,NBA,Rebounds,Yves Missi,Over,10.5,1.8,0.5556
Caesars,NBA,Rebounds,Yves Missi,Under,11.5,1.7,0.5882
ESPNBet,NBA,Rebounds,Yves Missi,Under,11.5,1.74,0.5747
Fliff,NBA,Rebounds,Yves Missi,Under,11.5,1.67,0.5988
BetMGM,NBA,Rebounds,Yves Missi,Under,11.5,1.7,0.5882
Pinnacle,NBA,Rebounds,Yves Missi,Under,11.5,1.66,0.6024
Bovada,NBA,Rebounds,Yves Missi,Under,11.5,1.67,0.5988
BetOnline,NBA,Rebounds,Yves Missi,Under,11.5,1.7,0.5882
Dabble,NBA,Rebounds,Yves Missi,Under,11.0,1.83,0.5464
Sleeper,NBA,Rebounds,Yves Missi,Under,10.5,1.87,0.5348
PrizePicks,NBA,Rebounds,Yves Missi,Under,10.5,1.85,0.5405
Pick6,NBA,Rebounds,Yves Missi,Under,10.5,1.74,0.5747
SugarHouse,NBA,Rebounds,Yves Missi,Under,10.5,1.9,0.5263
BetRivers,NBA,Rebounds,Yves Missi,Under,10.5,1.9,0.5263
FanDuel,NBA,Rebounds,Yves Missi,Under,10.5,1.96,0.5102
Unibet,NBA,Rebounds,Yves Missi,Under,10.5,1.9,0.5263
DraftKings,NBA,Rebounds,Yves Missi,Under,10.5,1.95,0.5128
Underdog,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.82,0.5495
Dabble,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.83,0.5464
Pick6,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.74,0.5747
PrizePicks,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.85,0.5405
Sleeper,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.76,0.5682
Caesars,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.94,0.5155
DraftKings,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.95,0.5128
Unibet,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.85,0.5405
BetMGM,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.91,0.5236
SugarHouse,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.85,0.5405
ESPNBet,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.95,0.5128
HardRock,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.91,0.5236
FanDuel,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.87,0.5348
Fliff,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.87,0.5348
BetRivers,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.85,0.5405
BetOnline,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.87,0.5348
Bovada,NBA,Rebounds,Isaiah Hartenstein,Over,10.5,1.77,0.565
Underdog,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.82,0.5495
Dabble,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.83,0.5464
Pick6,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.74,0.5747
PrizePicks,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.85,0.5405
Sleeper,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.79,0.5587
Caesars,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.78,0.5618
DraftKings,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.8,0.5556
Unibet,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.89,0.5291
BetMGM,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.83,0.5464
SugarHouse,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.89,0.5291
ESPNBet,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.8,0.5556
HardRock,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.8,0.5556
FanDuel,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.9,0.5263
Fliff,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.74,0.5747
BetRivers,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.89,0.5291
BetOnline,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,1.89,0.5291
Bovada,NBA,Rebounds,Isaiah Hartenstein,Under,10.5,2.0,0.5
Pick6,NBA,Rebounds,Jayson Tatum,Over,9.5,1.74,0.5747
PrizePicks,NBA,Rebounds,Jayson Tatum,Over,9.5,1.85,0.5405
Sleeper,NBA,Rebounds,Jayson Tatum,Over,9.5,1.78,0.5618
Caesars,NBA,Rebounds,Jayson Tatum,Over,9.5,1.85,0.5405
BetRivers,NBA,Rebounds,Jayson Tatum,Over,9.5,1.94,0.5155
DraftKings,NBA,Rebounds,Jayson Tatum,Over,9.5,1.87,0.5348
FanDuel,NBA,Rebounds,Jayson Tatum,Over,9.5,1.87,0.5348
Unibet,NBA,Rebounds,Jayson Tatum,Over,9.5,1.94,0.5155
BetMGM,NBA,Rebounds,Jayson Tatum,Over,9.5,1.78,0.5618
SugarHouse,NBA,Rebounds,Jayson Tatum,Over,9.5,1.94,0.5155
ESPNBet,NBA,Rebounds,Jayson Tatum,Over,9.5,1.83,0.5464
HardRock,NBA,Rebounds,Jayson Tatum,Over,9.5,1.74,0.5747
Fliff,NBA,Rebounds,Jayson Tatum,Over,9.5,1.71,0.5848
BetOnline,NBA,Rebounds,Jayson Tatum,Over,9.5,1.83,0.5464
Bovada,NBA,Rebounds,Jayson Tatum,Over,9.5,1.77,0.565
PrizePicks,NBA,Rebounds,Jayson Tatum,Under,9.5,1.85,0.5405
Pick6,NBA,Rebounds,Jayson Tatum,Under,9.5,1.74,0.5747
Sleeper,NBA,Rebounds,Jayson Tatum,Under,9.5,1.76,0.5682
Caesars,NBA,Rebounds,Jayson Tatum,Under,9.5,1.85,0.5405
BetRivers,NBA,Rebounds,Jayson Tatum,Under,9.5,1.8,0.5556
DraftKings,NBA,Rebounds,Jayson Tatum,Under,9.5,1.87,0.5348
FanDuel,NBA,Rebounds,Jayson Tatum,Under,9.5,1.9,0.5263
Unibet,NBA,Rebounds,Jayson Tatum,Under,9.5,1.8,0.5556
BetMGM,NBA,Rebounds,Jayson Tatum,Under,9.5,2.0,0.5
SugarHouse,NBA,Rebounds,Jayson Tatum,Under,9.5,1.8,0.5556
ESPNBet,NBA,Rebounds,Jayson Tatum,Under,9.5,1.91,0.5236
HardRock,NBA,Rebounds,Jayson Tatum,Under,9.5,1.95,0.5128
Fliff,NBA,Rebounds,Jayson Tatum,Under,9.5,1.91,0.5236
BetOnline,NBA,Rebounds,Jayson Tatum,Under,9.5,1.93,0.5181
Bovada,NBA,Rebounds,Jayson Tatum,Under,9.5,2.0,0.5
FanDuel,NBA,Rebounds,Josh Hart,Over,9.5,2.1,0.4762
Sleeper,NBA,Rebounds,Josh Hart,Over,8.5,1.64,0.6098
Caesars,NBA,Rebounds,Josh Hart,Over,8.5,1.73,0.578
Unibet,NBA,Rebounds,Josh Hart,Over,8.5,1.82,0.5495
BetMGM,NBA,Rebounds,Josh Hart,Over,8.5,1.75,0.5714
SugarHouse,NBA,Rebounds,Josh Hart,Over,8.5,1.82,0.5495
ESPNBet,NBA,Rebounds,Josh Hart,Over,8.5,1.71,0.5848
HardRock,NBA,Rebounds,Josh Hart,Over,8.5,1.74,0.5747
Fliff,NBA,Rebounds,Josh Hart,Over,8.5,1.71,0.5848
BetRivers,NBA,Rebounds,Josh Hart,Over,8.5,1.82,0.5495
Bovada,NBA,Rebounds,Josh Hart,Over,8.5,1.77,0.565
BetOnline,NBA,Rebounds,Josh Hart,Over,8.5,1.7,0.5882
FanDuel,NBA,Rebounds,Josh Hart,Under,9.5,1.72,0.5814
Sleeper,NBA,Rebounds,Josh Hart,Under,8.5,1.93,0.5181
Caesars,NBA,Rebounds,Josh Hart,Under,8.5,2.0,0.5
Unibet,NBA,Rebounds,Josh Hart,Under,8.5,1.93,0.5181
BetMGM,NBA,Rebounds,Josh Hart,Under,8.5,2.0,0.5
SugarHouse,NBA,Rebounds,Josh Hart,Under,8.5,1.93,0.5181
ESPNBet,NBA,Rebounds,Josh Hart,Under,8.5,2.1,0.4762
HardRock,NBA,Rebounds,Josh Hart,Under,8.5,1.95,0.5128
Fliff,NBA,Rebounds,Josh Hart,Under,8.5,1.91,0.5236
BetRivers,NBA,Rebounds,Josh Hart,Under,8.5,1.93,0.5181
Bovada,NBA,Rebounds,Josh Hart,Under,8.5,2.0,0.5
BetOnline,NBA,Rebounds,Josh Hart,Under,8.5,2.1,0.4762
Caesars,NBA,Rebounds,Alexandre Sarr,Over,7.5,1.97,0.5076
Dabble,NBA,Rebounds,Alexandre Sarr,Over,7.0,1.83,0.5464
Pick6,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.74,0.5747
Sleeper,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.67,0.5988
ESPNBet,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.8,0.5556
Fliff,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.62,0.6173
SugarHouse,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.83,0.5464
BetMGM,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.7,0.5882
BetRivers,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.83,0.5464
FanDuel,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.83,0.5464
Unibet,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.83,0.5464
DraftKings,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.8,0.5556
Pinnacle,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.76,0.5682
Bovada,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.77,0.565
BetOnline,NBA,Rebounds,Alexandre Sarr,Over,6.5,1.78,0.5618
Dabble,NBA,Rebounds,Alexandre Sarr,Under,7.0,1.83,0.5464
Pick6,NBA,Rebounds,Alexandre Sarr,Under,6.5,1.74,0.5747
Sleeper,NBA,Rebounds,Alexandre Sarr,Under,6.5,1.88,0.5319
ESPNBet,NBA,Rebounds,Alexandre Sarr,Under,6.5,1.95,0.5128
Fliff,NBA,Rebounds,Alexandre Sarr,Under,6.5,2.0,0.5
SugarHouse,NBA,Rebounds,Alexandre Sarr,Under,6.5,1.91,0.5236
BetMGM,NBA,Rebounds,Alexandre Sarr,Under,6.5,2.1,0.4762
BetRivers,NBA,Rebounds,Alexandre Sarr,Under,6.5,1.91,0.5236
FanDuel,NBA,Rebounds,Alexandre Sarr,Under,6.5,1.94,0.5155
Unibet,NBA,Rebounds,Alexandre Sarr,Under,6.5,1.91,0.5236
DraftKings,NBA,Rebounds,Alexandre Sarr,Under,6.5,1.95,0.5128
Pinnacle,NBA,Rebounds,Alexandre Sarr,Under,6.5,1.99,0.5025
Bovada,NBA,Rebounds,Alexandre Sarr,Under,6.5,2.0,0.5
BetOnline,NBA,Rebounds,Alexandre Sarr,Under,6.5,1.99,0.5025
Dabble,NBA,Rebounds,Dejounte Murray,Over,7.0,1.83,0.5464
Sleeper,NBA,Rebounds,Dejounte Murray,Over,6.5,1.66,0.6024
PrizePicks,NBA,Rebounds,Dejounte Murray,Over,6.5,1.85,0.5405
Caesars,NBA,Rebounds,Dejounte Murray,Over,6.5,1.73,0.578
ESPNBet,NBA,Rebounds,Dejounte Murray,Over,6.5,1.74,0.5747
Fliff,NBA,Rebounds,Dejounte Murray,Over,6.5,1.67,0.5988
SugarHouse,NBA,Rebounds,Dejounte Murray,Over,6.5,1.77,0.565
BetMGM,NBA,Rebounds,Dejounte Murray,Over,6.5,1.72,0.5814
BetRivers,NBA,Rebounds,Dejounte Murray,Over,6.5,1.77,0.565
FanDuel,NBA,Rebounds,Dejounte Murray,Over,6.5,1.77,0.565
Unibet,NBA,Rebounds,Dejounte Murray,Over,6.5,1.77,0.565
DraftKings,NBA,Rebounds,Dejounte Murray,Over,6.5,1.74,0.5747
Pinnacle,NBA,Rebounds,Dejounte Murray,Over,6.5,1.79,0.5587
Bovada,NBA,Rebounds,Dejounte Murray,Over,6.5,1.8,0.5556
BetOnline,NBA,Rebounds,Dejounte Murray,Over,6.5,1.76,0.5682
Dabble,NBA,Rebounds,Dejounte Murray,Under,7.0,1.83,0.5464
PrizePicks,NBA,Rebounds,Dejounte Murray,Under,6.5,1.85,0.5405
Sleeper,NBA,Rebounds,Dejounte Murray,Under,6.5,1.9,0.5263
Caesars,NBA,Rebounds,Dejounte Murray,Under,6.5,2.0,0.5
ESPNBet,NBA,Rebounds,Dejounte Murray,Under,6.5,2.05,0.4878
Fliff,NBA,Rebounds,Dejounte Murray,Under,6.5,1.95,0.5128
SugarHouse,NBA,Rebounds,Dejounte Murray,Under,6.5,1.98,0.5051
BetMGM,NBA,Rebounds,Dejounte Murray,Under,6.5,2.05,0.4878
BetRivers,NBA,Rebounds,Dejounte Murray,Under,6.5,1.98,0.5051
FanDuel,NBA,Rebounds,Dejounte Murray,Under,6.5,2.02,0.495
Unibet,NBA,Rebounds,Dejounte Murray,Under,6.5,1.98,0.5051
DraftKings,NBA,Rebounds,Dejounte Murray,Under,6.5,2.05,0.4878
Pinnacle,NBA,Rebounds,Dejounte Murray,Under,6.5,1.95,0.5128
Bovada,NBA,Rebounds,Dejounte Murray,Under,6.5,1.95,0.5128
BetOnline,NBA,Rebounds,Dejounte Murray,Under,6.5,2.02,0.495
Sleeper,NBA,Rebounds,Kristaps Porzingis,Over,6.5,2.05,0.4878
DraftKings,NBA,Rebounds,Kristaps Porzingis,Over,6.5,2.2,0.4545
Dabble,NBA,Rebounds,Kristaps Porzingis,Over,6.0,1.83,0.5464
Caesars,NBA,Rebounds,Kristaps Porzingis,Over,5.5,1.62,0.6173
FanDuel,NBA,Rebounds,Kristaps Porzingis,Over,5.5,1.74,0.5747
BetMGM,NBA,Rebounds,Kristaps Porzingis,Over,5.5,1.62,0.6173
ESPNBet,NBA,Rebounds,Kristaps Porzingis,Over,5.5,1.62,0.6173
HardRock,NBA,Rebounds,Kristaps Porzingis,Over,5.5,1.61,0.6211
Fliff,NBA,Rebounds,Kristaps Porzingis,Over,5.5,1.59,0.6289
Bovada,NBA,Rebounds,Kristaps Porzingis,Over,5.5,1.62,0.6173
BetOnline,NBA,Rebounds,Kristaps Porzingis,Over,5.5,1.64,0.6098
Sleeper,NBA,Rebounds,Kristaps Porzingis,Under,6.5,1.55,0.6452
DraftKings,NBA,Rebounds,Kristaps Porzingis,Under,6.5,1.65,0.6061
Dabble,NBA,Rebounds,Kristaps Porzingis,Under,6.0,1.83,0.5464
Caesars,NBA,Rebounds,Kristaps Porzingis,Under,5.5,2.16,0.463
FanDuel,NBA,Rebounds,Kristaps Porzingis,Under,5.5,2.1,0.4762
BetMGM,NBA,Rebounds,Kristaps Porzingis,Under,5.5,2.2,0.4545
ESPNBet,NBA,Rebounds,Kristaps Porzingis,Under,5.5,2.2,0.4545
HardRock,NBA,Rebounds,Kristaps Porzingis,Under,5.5,2.15,0.4651
Fliff,NBA,Rebounds,Kristaps Porzingis,Under,5.5,2.1,0.4762
Bovada,NBA,Rebounds,Kristaps Porzingis,Under,5.5,2.2,0.4545
BetOnline,NBA,Rebounds,Kristaps Porzingis,Under,5.5,2.21,0.4525
Underdog,NBA,Rebounds,Jabari Smith,Over,6.5,1.82,0.5495
Pick6,NBA,Rebounds,Jabari Smith,Over,6.5,1.74,0.5747
Dabble,NBA,Rebounds,Jabari Smith,Over,6.5,1.83,0.5464
PrizePicks,NBA,Rebounds,Jabari Smith,Over,6.5,1.85,0.5405
Sleeper,NBA,Rebounds,Jabari Smith,Over,6.5,1.79,0.5587
Caesars,NBA,Rebounds,Jabari Smith,Over,6.5,1.94,0.5155
BetRivers,NBA,Rebounds,Jabari Smith,Over,6.5,2.04,0.4902
DraftKings,NBA,Rebounds,Jabari Smith,Over,6.5,1.91,0.5236
FanDuel,NBA,Rebounds,Jabari Smith,Over,6.5,1.83,0.5464
Unibet,NBA,Rebounds,Jabari Smith,Over,6.5,2.04,0.4902
BetMGM,NBA,Rebounds,Jabari Smith,Over,6.5,1.95,0.5128
SugarHouse,NBA,Rebounds,Jabari Smith,Over,6.5,2.04,0.4902
ESPNBet,NBA,Rebounds,Jabari Smith,Over,6.5,1.95,0.5128
HardRock,NBA,Rebounds,Jabari Smith,Over,6.5,1.95,0.5128
Fliff,NBA,Rebounds,Jabari Smith,Over,6.5,1.87,0.5348
BetOnline,NBA,Rebounds,Jabari Smith,Over,6.5,1.88,0.5319
Bovada,NBA,Rebounds,Jabari Smith,Over,6.5,1.91,0.5236
Underdog,NBA,Rebounds,Jabari Smith,Under,6.5,1.82,0.5495
Pick6,NBA,Rebounds,Jabari Smith,Under,6.5,1.74,0.5747
Dabble,NBA,Rebounds,Jabari Smith,Under,6.5,1.83,0.5464
PrizePicks,NBA,Rebounds,Jabari Smith,Under,6.5,1.85,0.5405
Sleeper,NBA,Rebounds,Jabari Smith,Under,6.5,1.74,0.5747
Caesars,NBA,Rebounds,Jabari Smith,Under,6.5,1.78,0.5618
BetRivers,NBA,Rebounds,Jabari Smith,Under,6.5,1.73,0.578
DraftKings,NBA,Rebounds,Jabari Smith,Under,6.5,1.83,0.5464
FanDuel,NBA,Rebounds,Jabari Smith,Under,6.5,1.94,0.5155
Unibet,NBA,Rebounds,Jabari Smith,Under,6.5,1.73,0.578
BetMGM,NBA,Rebounds,Jabari Smith,Under,6.5,1.78,0.5618
SugarHouse,NBA,Rebounds,Jabari Smith,Under,6.5,1.73,0.578
ESPNBet,NBA,Rebounds,Jabari Smith,Under,6.5,1.8,0.5556
HardRock,NBA,Rebounds,Jabari Smith,Under,6.5,1.77,0.565
Fliff,NBA,Rebounds,Jabari Smith,Under,6.5,1.74,0.5747
