bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
BetRivers,0.0371,0.5,Over,NBA,18.5,Points + Assists,2.0,Josh Hart,0.5185429838633576
SugarHouse,0.0371,0.5,Over,NBA,18.5,Points + Assists,2.0,Josh Hart,0.5185429838633576
Unibet,0.0371,0.5,Over,NBA,18.5,Points + Assists,2.0,Josh Hart,0.5185429838633576
Pinnacle,0.0363,0.431,Under,NFL,6.5,Total Receptions,2.32,Amon-Ra St. Brown,0.44666953807235354
BetMGM,0.0359,0.5814,Over,NFL,2.5,Total Receptions,1.72,Marvin Mims,0.6022586021013634
Bovada,0.0359,0.4762,Under,NBA,14.5,Rebounds + Assists,2.1,Trae Young,0.49327645367708434
Unibet,0.0349,0.4651,Under,NFL,0.5,Total Sacks,2.15,T.J. Watt,0.4813667511499108
Bovada,0.0346,0.4878,Over,NBA,12.5,Rebounds + Assists,2.05,Desmond Bane,0.5046848447373589
HardRock,0.0344,0.5556,Under,NBA,9.5,Rebounds,1.8,Scottie Barnes,0.5746505430533205
Fanatics,0.0337,0.5236,Over,NHL,2.5,Total Shots on Goal,1.91,Connor Bedard,0.5412242948295589
Bovada,0.0332,0.4878,Under,NBA,15.5,Rebounds + Assists,2.05,Josh Hart,0.5040052775421732
Bovada,0.0332,0.4878,Under,NBA,21.5,Points + Rebounds,2.05,Josh Hart,0.5040052775421732
Unibet,0.0325,0.4167,Over,NHL,3.5,Total Shots on Goal,2.4,Connor McDavid,0.43022032272198474
BetRivers,0.0325,0.4167,Over,NHL,3.5,Total Shots on Goal,2.4,Connor McDavid,0.43022032272198474
DraftKings,0.0323,0.5,Over,NBA,1.5,Assists,2.0,Malik Beasley,0.5161649944258639
DraftKings,0.0319,0.2222,Over,NHL,0.5,Total Player Goals,4.5,Taylor Hall,0.22931553215494546
DraftKings,0.0315,0.3571,Over,NBA,0.5,3-Pointers,2.8,Alperen Sengün,0.3683966205551945
Fanatics,0.031,0.198,Over,NHL,0.5,Total Player Goals,5.05,Colton Dach,0.2041506244717814
HardRock,0.0299,0.5848,Over,NFL,2.5,Total Receptions,1.71,Marvin Mims,0.6022586021013634
Bovada,0.0299,0.4878,Over,NBA,8.5,Rebounds + Assists,2.05,Carlton Carrington,0.5023682687068249
ESPNBet,0.0297,0.4878,Over,NFL,39.5,Total Passing Attempts,2.05,Joe Burrow,0.5023092849179805
BetMGM,0.0296,0.4545,Over,NBA,3.5,Rebounds,2.2,Mikal Bridges,0.46798782771767977
ESPNBet,0.0293,0.303,Over,NHL,0.5,Total Player Goals,3.3,Sidney Crosby,0.31190342504211116
Fanatics,0.0293,0.303,Over,NHL,0.5,Total Player Goals,3.3,Sidney Crosby,0.31190342504211116
BetRivers,0.0293,0.4587,Under,NFL,0.5,Total Interceptions Thrown,2.18,Sam Darnold,0.47214131353941563
SugarHouse,0.0293,0.4587,Under,NFL,0.5,Total Interceptions Thrown,2.18,Sam Darnold,0.47214131353941563
Unibet,0.0293,0.4587,Under,NFL,0.5,Total Interceptions Thrown,2.18,Sam Darnold,0.47214131353941563
ESPNBet,0.0291,0.5,Under,NFL,8.5,Longest Rush,2.0,Russell Wilson,0.514549392598173
BetMGM,0.0283,0.5263,Over,NHL,2.5,Total Shots on Goal,1.9,Connor Bedard,0.5412242948295589
Bovada,0.0277,0.4878,Over,NBA,14.5,Rebounds + Assists,2.05,Jayson Tatum,0.501323071575901
Unibet,0.0273,0.5291,Under,NFL,44.5,Total Rushing Yards,1.89,Lamar Jackson,0.5435395899943577
BetRivers,0.0273,0.5291,Under,NFL,44.5,Total Rushing Yards,1.89,Lamar Jackson,0.5435395899943577
SugarHouse,0.0273,0.5291,Under,NFL,44.5,Total Rushing Yards,1.89,Lamar Jackson,0.5435395899943577
ESPNBet,0.0262,0.3333,Over,NFL,0.5,Total Sacks,3.0,Cameron Heyward,0.3420829805249788
HardRock,0.0262,0.3333,Over,NFL,0.5,Total Sacks,3.0,Cameron Heyward,0.3420829805249788
Pinnacle,0.0259,0.2681,Over,NHL,0.5,Total Player Goals,3.73,Drake Batherson,0.2750397456279809
Bovada,0.0253,0.5,Over,NBA,11.5,Assists,2.0,Trae Young,0.5126289627394778
Fanatics,0.0252,0.2353,Over,NHL,0.5,Total Player Goals,4.25,Jake Neighbours,0.24122683225138775
Bovada,0.025,0.4878,Over,NBA,27.5,Points + Rebounds,2.05,Jaylen Brown,0.5
Bovada,0.025,0.4878,Under,NFL,26.5,Longest Reception,2.05,Ja'Marr Chase,0.5
DraftKings,0.025,0.4878,Under,NBA,16.5,Rebounds + Assists,2.05,LeBron James,0.5
ESPNBet,0.0248,0.565,Under,NBA,10.5,Rebounds + Assists,1.77,Jaren Jackson Jr.,0.5789717461787866
SugarHouse,0.0245,0.4902,Over,NBA,6.5,Rebounds,2.04,Jabari Smith,0.5022159270340699
Unibet,0.0245,0.4902,Over,NBA,6.5,Rebounds,2.04,Jabari Smith,0.5022159270340699
BetRivers,0.0245,0.4902,Over,NBA,6.5,Rebounds,2.04,Jabari Smith,0.5022159270340699
Pinnacle,0.0228,0.2358,Over,NHL,0.5,Total Player Goals,4.24,Jake Neighbours,0.24122683225138775
BetMGM,0.0221,0.4762,Under,NFL,0.5,Total Interceptions Thrown,2.1,Joe Burrow,0.4867073743541569
Pinnacle,0.0219,0.5208,Under,NFL,1.5,Total Receptions,1.92,Najee Harris,0.5322549836853492
BetMGM,0.0216,0.4348,Over,NBA,3.5,Rebounds,2.3,Trae Young,0.44418977082038213
Unibet,0.0215,0.4082,Over,NHL,2.5,Total Shots on Goal,2.45,Rickard Rakell,0.416949589301417
BetRivers,0.0215,0.4082,Over,NHL,2.5,Total Shots on Goal,2.45,Rickard Rakell,0.416949589301417
BetRivers,0.0213,0.5348,Under,NFL,0.5,Total Interceptions Thrown,1.87,Jared Goff,0.5461719116956317
SugarHouse,0.0213,0.5348,Under,NFL,0.5,Total Interceptions Thrown,1.87,Jared Goff,0.5461719116956317
Unibet,0.0213,0.5348,Under,NFL,0.5,Total Interceptions Thrown,1.87,Jared Goff,0.5461719116956317
Pinnacle,0.0213,0.4065,Over,NFL,1.5,Total Receptions,2.46,Mike Williams,0.41516987998161664
BetMGM,0.0212,0.3226,Over,NHL,0.5,Total Player Goals,3.1,Jordan Kyrou,0.3294217048441607
BetRivers,0.0212,0.4808,Under,NBA,11.5,Rebounds + Assists,2.08,De'Aaron Fox,0.4909554730983302
SugarHouse,0.0212,0.4808,Under,NBA,11.5,Rebounds + Assists,2.08,De'Aaron Fox,0.4909554730983302
Unibet,0.0212,0.4808,Under,NBA,11.5,Rebounds + Assists,2.08,De'Aaron Fox,0.4909554730983302
BetRivers,0.021,0.4167,Over,NHL,2.5,Total Shots on Goal,2.4,Pavel Buchnevich,0.4254322665267899
Unibet,0.021,0.4167,Over,NHL,2.5,Total Shots on Goal,2.4,Pavel Buchnevich,0.4254322665267899
HardRock,0.0208,0.5236,Over,NFL,34.5,Total Rushing Yards,1.91,Jaleel McLaughlin,0.5344243792325056
ESPNBet,0.0208,0.2,Over,NHL,0.5,Total Player Goals,5.0,Colton Dach,0.2041506244717814
Bovada,0.0208,0.2,Over,NHL,0.5,Total Player Goals,5.0,Ilya Mikheyev,0.2041506244717814
Bovada,0.0207,0.4762,Over,NBA,5.5,Rebounds,2.1,Ausar Thompson,0.48605470428613257
SugarHouse,0.02,0.4902,Over,NFL,0.5,Total Interceptions Thrown,2.04,Russell Wilson,0.5
BetRivers,0.02,0.4902,Over,NFL,0.5,Total Interceptions Thrown,2.04,Russell Wilson,0.5
Unibet,0.02,0.4902,Over,NFL,0.5,Total Interceptions Thrown,2.04,Russell Wilson,0.5
Unibet,0.0199,0.5618,Under,NFL,0.5,Total Sacks,1.78,Odafe Oweh,0.5729587522315137
Bovada,0.0196,0.4762,Over,NFL,22.5,Total Pass Completions,2.1,Geno Smith,0.4855364769530173
DraftKings,0.0195,0.5128,Under,NBA,4.5,Assists,1.95,C.J. McCollum,0.5228274091418399
Bovada,0.0195,0.4651,Under,NBA,11.5,Points,2.15,Scotty Pippen Jr.,0.4741827651619101
DraftKings,0.0193,0.4255,Over,NBA,2.5,Blocks,2.35,Anthony Davis,0.4337588652482269
ESPNBet,0.0193,0.4255,Over,NBA,2.5,Blocks,2.35,Anthony Davis,0.4337588652482269
