bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
BetMGM,-0.0611,0.3509,Over,NHL,0.5,Total Player Goals,2.85,Aleksander Barkov,0.3294217048441607
PrizePicks,-0.0611,0.5405,Over,NHL,0.5,Total Points,1.85,Lane Hutson,0.5075266579165043
DraftKings,-0.0611,0.4762,Under,NHL,1.5,Total Shots on Goal,2.1,Brayden Schenn,0.44707494933413455
HardRock,-0.0611,0.5988,Under,NBA,5.5,Assists,1.67,Jalen Williams,0.5622030516573018
Pinnacle,-0.0612,0.625,Over,NHL,1.5,Total Shots on Goal,1.6,Mike Matheson,0.5867476156739677
SugarHouse,-0.0612,0.5128,Under,NBA,42.5,Points + Rebounds + Assists,1.95,Jayson Tatum,0.4814570161366425
Unibet,-0.0612,0.5128,Under,NBA,42.5,Points + Rebounds + Assists,1.95,Jayson Tatum,0.4814570161366425
BetRivers,-0.0612,0.5348,Under,NBA,41.5,Points + Rebounds + Assists,1.87,Shai Gilgeous-Alexander,0.5020222100985358
BetRivers,-0.0612,0.5128,Under,NBA,42.5,Points + Rebounds + Assists,1.95,Jayson Tatum,0.4814570161366425
Unibet,-0.0612,0.5348,Under,NBA,41.5,Points + Rebounds + Assists,1.87,Shai Gilgeous-Alexander,0.5020222100985358
ESPNBet,-0.0612,0.5348,Under,NBA,41.5,Points + Rebounds + Assists,1.87,Shai Gilgeous-Alexander,0.5020222100985358
DraftKings,-0.0612,0.5128,Under,NBA,20.5,Points + Rebounds + Assists,1.95,Jrue Holiday,0.4814570161366425
DraftKings,-0.0612,0.5128,Under,NBA,16.5,Points + Rebounds,1.95,Tristan Da Silva,0.4814570161366425
BetRivers,-0.0612,0.5128,Over,NBA,10.5,Points + Rebounds,1.95,Cason Wallace,0.4814570161366425
SugarHouse,-0.0612,0.5208,Over,NBA,5.5,Rebounds,1.92,Trey Murphy III,0.488984328449588
SugarHouse,-0.0612,0.5128,Over,NBA,23.5,Points + Rebounds,1.95,Malik Monk,0.4814570161366425
SugarHouse,-0.0612,0.5128,Over,NBA,10.5,Points + Rebounds,1.95,Cason Wallace,0.4814570161366425
Unibet,-0.0612,0.5128,Over,NBA,23.5,Points + Rebounds,1.95,Malik Monk,0.4814570161366425
DraftKings,-0.0612,0.5128,Over,NBA,30.5,Points + Assists,1.95,Anthony Davis,0.4814570161366425
BetRivers,-0.0612,0.5128,Over,NBA,23.5,Points + Rebounds,1.95,Malik Monk,0.4814570161366425
BetRivers,-0.0612,0.5208,Over,NBA,5.5,Rebounds,1.92,Trey Murphy III,0.488984328449588
Unibet,-0.0612,0.5208,Over,NBA,5.5,Rebounds,1.92,Trey Murphy III,0.488984328449588
DraftKings,-0.0612,0.5128,Over,NBA,26.5,Points + Assists,1.95,Jaylen Brown,0.4814570161366425
BetMGM,-0.0612,0.625,Over,NHL,1.5,Total Shots on Goal,1.6,Mike Matheson,0.5867476156739677
Unibet,-0.0612,0.5128,Over,NBA,10.5,Points + Rebounds,1.95,Cason Wallace,0.4814570161366425
Pinnacle,-0.0612,0.5208,Over,NBA,5.5,Rebounds,1.92,Trey Murphy III,0.488984328449588
DraftKings,-0.0612,0.5128,Under,NBA,10.5,Rebounds,1.95,Yves Missi,0.4814570161366425
SugarHouse,-0.0612,0.5348,Under,NBA,41.5,Points + Rebounds + Assists,1.87,Shai Gilgeous-Alexander,0.5020222100985358
Underdog,-0.0612,0.5495,Over,NBA,10.5,Points,1.82,Herbert Jones,0.5158127145800313
Fliff,-0.0612,0.5747,Over,NBA,6.5,Rebounds + Assists,1.74,Mikal Bridges,0.5395571589811601
Underdog,-0.0612,0.5495,Under,NBA,11.5,Points,1.82,Yves Missi,0.5158127145800313
DraftKings,-0.0612,0.5128,Under,NBA,17.5,Points,1.95,Scottie Barnes,0.4814570161366425
DraftKings,-0.0612,0.5128,Over,NBA,1.5,Steals,1.95,Herbert Jones,0.4814570161366425
ESPNBet,-0.0612,0.885,Under,NHL,0.5,Total Player Goals,1.13,Alex Killorn,0.830839174086001
PointsBet,-0.0612,0.5128,Over,NBA,1.5,Steals,1.95,Herbert Jones,0.4814570161366425
Pick6,-0.0612,0.5747,Over,NBA,6.5,Rebounds + Assists,1.74,Mikal Bridges,0.5395571589811601
ESPNBet,-0.0613,0.5556,Under,NBA,15.5,Points + Assists,1.8,Jarrett Allen,0.5214889074538197
Pinnacle,-0.0613,0.5525,Under,NFL,0.5,Total Interceptions Thrown,1.81,Caleb Williams,0.5186332488500891
BetMGM,-0.0613,0.5814,Under,NBA,8.5,Rebounds + Assists,1.72,Spencer Dinwiddie,0.5457747032500334
Bovada,-0.0613,0.5128,Over,NFL,0.5,Total Interceptions Thrown,1.95,Caleb Williams,0.4813667511499108
DraftKings,-0.0613,0.5128,Over,NFL,0.5,Total Interceptions Thrown,1.95,Baker Mayfield,0.4813667511499108
ESPNBet,-0.0613,0.5128,Over,NFL,0.5,Total Interceptions Thrown,1.95,Baker Mayfield,0.4813667511499108
HardRock,-0.0613,0.5128,Over,NFL,0.5,Total Interceptions Thrown,1.95,Caleb Williams,0.4813667511499108
BetMGM,-0.0613,0.5128,Over,NFL,0.5,Total Interceptions Thrown,1.95,Baker Mayfield,0.4813667511499108
HardRock,-0.0613,0.5128,Over,NFL,0.5,Total Interceptions Thrown,1.95,Baker Mayfield,0.4813667511499108
DraftKings,-0.0613,0.5128,Over,NFL,0.5,Total Interceptions Thrown,1.95,Caleb Williams,0.4813667511499108
Bovada,-0.0613,0.5128,Over,NFL,0.5,Total Interceptions Thrown,1.95,Baker Mayfield,0.4813667511499108
ESPNBet,-0.0613,0.5556,Under,NBA,12.5,Points + Assists,1.8,Caris LeVert,0.5214889074538197
BetMGM,-0.0613,0.5556,Under,NBA,12.5,Points + Assists,1.8,Caris LeVert,0.5214889074538197
ESPNBet,-0.0613,0.5556,Over,NBA,15.5,Points + Assists,1.8,Gradey Dick,0.5214889074538197
BetMGM,-0.0613,0.5556,Under,NBA,12.5,Rebounds + Assists,1.8,Jalen Duren,0.5214889074538197
ESPNBet,-0.0613,0.5128,Over,NFL,0.5,Total Interceptions Thrown,1.95,Caleb Williams,0.4813667511499108
BetMGM,-0.0613,0.5128,Over,NFL,0.5,Total Interceptions Thrown,1.95,Caleb Williams,0.4813667511499108
HardRock,-0.0613,0.5556,Under,NBA,12.5,Points + Assists,1.8,Caris LeVert,0.5214889074538197
ESPNBet,-0.0613,0.5556,Under,NBA,8.5,Points + Assists,1.8,Georges Niang,0.5214889074538197
BetMGM,-0.0613,0.5556,Under,NBA,8.5,Points + Assists,1.8,Georges Niang,0.5214889074538197
BetMGM,-0.0613,0.5556,Over,NBA,7.5,Points + Assists,1.8,Dean Wade,0.5214889074538197
DraftKings,-0.0613,0.565,Over,NBA,3.5,Assists,1.77,Jrue Holiday,0.5303375215823742
HardRock,-0.0613,0.5556,Over,NBA,7.5,Points + Assists,1.8,Dean Wade,0.5214889074538197
Bovada,-0.0613,0.5556,Under,NFL,7.5,Total Kicking Points,1.8,Will Reichard,0.5214889074538197
HardRock,-0.0613,0.5556,Under,NFL,7.5,Total Kicking Points,1.8,Will Reichard,0.5214889074538197
ESPNBet,-0.0613,0.5556,Over,NBA,7.5,Points + Assists,1.8,Dean Wade,0.5214889074538197
ESPNBet,-0.0613,0.5556,Under,NBA,18.5,Points + Assists,1.8,Klay Thompson,0.5214889074538197
BetRivers,-0.0613,0.5556,Under,NBA,20.5,Points + Assists,1.8,Spencer Dinwiddie,0.5214889074538197
Unibet,-0.0613,0.5556,Under,NBA,20.5,Points + Assists,1.8,Spencer Dinwiddie,0.5214889074538197
SugarHouse,-0.0613,0.5556,Under,NBA,20.5,Points + Assists,1.8,Spencer Dinwiddie,0.5214889074538197
ESPNBet,-0.0613,0.5556,Under,NBA,17.5,Points + Rebounds,1.8,Tristan Da Silva,0.5214889074538197
BetMGM,-0.0613,0.5556,Under,NBA,28.5,Points + Rebounds,1.8,Scottie Barnes,0.5214889074538197
ESPNBet,-0.0613,0.5556,Under,NBA,28.5,Points + Rebounds,1.8,Scottie Barnes,0.5214889074538197
STNSports,-0.0613,0.5556,Under,NFL,1.5,Total Passing Touchdowns,1.8,Kyler Murray,0.5214889074538197
Fliff,-0.0613,0.5556,Over,NBA,18.5,Points + Rebounds,1.8,Malik Beasley,0.5214889074538197
ESPNBet,-0.0613,0.5556,Under,NBA,33.5,Points + Rebounds,1.8,Cade Cunningham,0.5214889074538197
BetMGM,-0.0613,0.5556,Under,NBA,33.5,Points + Rebounds,1.8,Cade Cunningham,0.5214889074538197
BetMGM,-0.0613,0.5556,Over,NBA,17.5,Points + Assists,1.8,Malik Beasley,0.5214889074538197
DraftKings,-0.0613,0.5556,Under,NBA,21.5,Points + Assists,1.8,Mikal Bridges,0.5214889074538197
ESPNBet,-0.0613,0.5556,Over,NBA,16.5,Points + Assists,1.8,OG Anunoby,0.5214889074538197
BetMGM,-0.0613,0.5556,Over,NBA,16.5,Points + Assists,1.8,OG Anunoby,0.5214889074538197
HardRock,-0.0613,0.5556,Over,NBA,16.5,Points + Assists,1.8,OG Anunoby,0.5214889074538197
ESPNBet,-0.0613,0.5556,Over,NBA,12.5,Rebounds + Assists,1.8,Jakob Poeltl,0.5214889074538197
Pinnacle,-0.0613,0.5319,Over,NFL,74.5,Total Receiving Yards,1.88,Tee Higgins,0.4993276453677084
HardRock,-0.0613,0.5556,Under,NFL,11.5,Longest Reception,1.8,Aaron Jones,0.5214889074538197
DraftKings,-0.0613,0.5556,Under,NFL,11.5,Longest Reception,1.8,Aaron Jones,0.5214889074538197
ESPNBet,-0.0613,0.5556,Under,NBA,15.5,Points + Rebounds + Assists,1.8,Caris LeVert,0.5214889074538197
ESPNBet,-0.0613,0.4878,Under,NBA,10.5,Rebounds,2.05,Alperen Sengün,0.45788133194981606
BetMGM,-0.0613,0.4878,Under,NBA,10.5,Rebounds,2.05,Alperen Sengün,0.45788133194981606
HardRock,-0.0613,0.5556,Under,NBA,12.5,Rebounds + Assists,1.8,Jalen Duren,0.5214889074538197
Unibet,-0.0613,0.5525,Under,NFL,0.5,Total Interceptions Thrown,1.81,Baker Mayfield,0.5186332488500891
SugarHouse,-0.0613,0.5525,Under,NFL,0.5,Total Interceptions Thrown,1.81,Baker Mayfield,0.5186332488500891
ESPNBet,-0.0613,0.5556,Under,NBA,12.5,Rebounds + Assists,1.8,Jalen Duren,0.5214889074538197
ESPNBet,-0.0613,0.5556,Under,NBA,21.5,Points + Assists,1.8,Evan Mobley,0.5214889074538197
HardRock,-0.0613,0.5556,Under,NBA,21.5,Points + Assists,1.8,Evan Mobley,0.5214889074538197
BetRivers,-0.0613,0.5525,Under,NFL,0.5,Total Interceptions Thrown,1.81,Baker Mayfield,0.5186332488500891
ESPNBet,-0.0613,0.5556,Over,NBA,12.5,Points + Rebounds + Assists,1.8,Isaiah Stewart,0.5214889074538197
BetMGM,-0.0613,0.5556,Under,NFL,7.5,Total Kicking Points,1.8,Will Reichard,0.5214889074538197
HardRock,-0.0613,0.5556,Over,NBA,15.5,Points + Assists,1.8,Gradey Dick,0.5214889074538197
DraftKings,-0.0613,0.5556,Under,NFL,7.5,Total Kicking Points,1.8,Will Reichard,0.5214889074538197
ESPNBet,-0.0613,0.5556,Over,NFL,7.5,Total Receptions,1.8,Brock Bowers,0.5214889074538197
ESPNBet,-0.0613,0.5556,Under,NBA,12.5,Points + Rebounds,1.8,Caris LeVert,0.5214889074538197
HardRock,-0.0613,0.6211,Under,NHL,2.5,Total Shots on Goal,1.61,Rickard Rakell,0.5830504106985828
PointsBet,-0.0613,0.5,Under,NBA,2.5,3-Pointers,2.0,Fred VanVleet,0.46933253657780094
BetMGM,-0.0613,0.5556,Under,NBA,12.5,Points + Rebounds,1.8,Caris LeVert,0.5214889074538197
ESPNBet,-0.0613,0.6211,Under,NHL,2.5,Total Shots on Goal,1.61,Rickard Rakell,0.5830504106985828
HardRock,-0.0613,0.5,Under,NBA,2.5,3-Pointers,2.0,Fred VanVleet,0.46933253657780094
BetMGM,-0.0613,0.5556,Over,NBA,11.5,Points,1.8,Jaylen Wells,0.5214889074538197
Sleeper,-0.0613,0.5556,Under,NCAAF,37.5,Total Receiving Yards,1.8,Blair Conwright,0.5214889074538197
ESPNBet,-0.0613,0.5556,Under,NBA,18.5,Points + Rebounds,1.8,Rui Hachimura,0.5214889074538197
ESPNBet,-0.0613,0.5556,Over,NBA,15.5,Points + Rebounds,1.8,Trey Lyles,0.5214889074538197
ESPNBet,-0.0613,0.6211,Over,NHL,1.5,Total Shots on Goal,1.61,Kiefer Sherwood,0.5830504106985828
Fanatics,-0.0613,0.6211,Over,NHL,1.5,Total Shots on Goal,1.61,Kiefer Sherwood,0.5830504106985828
DraftKings,-0.0613,0.5556,Over,NBA,14.5,Rebounds + Assists,1.8,Jalen Johnson,0.5214889074538197
HardRock,-0.0613,0.5556,Under,NBA,6.5,Rebounds + Assists,1.8,Rui Hachimura,0.5214889074538197
HardRock,-0.0613,0.6211,Over,NHL,1.5,Total Shots on Goal,1.61,Kiefer Sherwood,0.5830504106985828
ESPNBet,-0.0613,0.5556,Under,NBA,6.5,Rebounds + Assists,1.8,Rui Hachimura,0.5214889074538197
Underdog,-0.0613,0.5495,Under,NCAAB,12.5,Points,1.82,Dayvion McKnight,0.5157431306229081
Fliff,-0.0613,0.5556,Over,NCAAF,54.5,Total Receiving Yards,1.8,Jaden Williams,0.5214889074538197
HardRock,-0.0613,0.5556,Over,NBA,24.5,Points + Assists,1.8,Jalen Johnson,0.5214889074538197
Pinnacle,-0.0613,0.6211,Under,NHL,2.5,Total Shots on Goal,1.61,Rickard Rakell,0.5830504106985828
Unibet,-0.0613,0.5556,Under,NBA,18.5,Points + Rebounds,1.8,Spencer Dinwiddie,0.5214889074538197
SugarHouse,-0.0613,0.5556,Under,NBA,18.5,Points + Rebounds,1.8,Spencer Dinwiddie,0.5214889074538197
HardRock,-0.0613,0.5556,Under,NBA,11.5,Rebounds + Assists,1.8,Zach Edey,0.5214889074538197
HardRock,-0.0613,0.6289,Over,NHL,1.5,Total Shots on Goal,1.59,Jake Sanderson,0.5903642479500189
BetMGM,-0.0613,0.5556,Over,NBA,12.5,Points + Rebounds + Assists,1.8,Isaiah Stewart,0.5214889074538197
Fanatics,-0.0613,0.6289,Over,NHL,1.5,Total Shots on Goal,1.59,Jake Sanderson,0.5903642479500189
HardRock,-0.0613,0.4651,Under,NHL,2.5,Total Shots on Goal,2.15,Jordan Kyrou,0.436627429864854
DraftKings,-0.0613,0.4651,Under,NHL,2.5,Total Shots on Goal,2.15,Jordan Kyrou,0.436627429864854
ESPNBet,-0.0613,0.5556,Under,NBA,11.5,Rebounds + Assists,1.8,Zach Edey,0.5214889074538197
BetMGM,-0.0613,0.5556,Under,NBA,11.5,Rebounds + Assists,1.8,Zach Edey,0.5214889074538197
BetMGM,-0.0613,0.5,Under,NBA,2.5,3-Pointers,2.0,Fred VanVleet,0.46933253657780094
BetMGM,-0.0613,0.5556,Over,NBA,24.5,Points + Assists,1.8,Jalen Johnson,0.5214889074538197
Fliff,-0.0613,0.5556,Under,NBA,18.5,Points + Rebounds,1.8,Spencer Dinwiddie,0.5214889074538197
DraftKings,-0.0613,0.6289,Over,NCAAB,3.5,Rebounds,1.59,Ben Gold,0.5903642479500189
ESPNBet,-0.0613,0.5556,Under,NBA,9.5,Points,1.8,Caris LeVert,0.5214889074538197
HardRock,-0.0613,0.5556,Over,NBA,11.5,Points,1.8,Jaylen Wells,0.5214889074538197
Bovada,-0.0613,0.5556,Under,NBA,9.5,Points,1.8,Caris LeVert,0.5214889074538197
ESPNBet,-0.0613,0.5556,Over,NBA,11.5,Points,1.8,Jaylen Wells,0.5214889074538197
DraftKings,-0.0613,0.5,Under,NBA,2.5,3-Pointers,2.0,Fred VanVleet,0.46933253657780094
BetRivers,-0.0613,0.5556,Under,NBA,18.5,Points + Rebounds,1.8,Spencer Dinwiddie,0.5214889074538197
PointsBet,-0.0614,0.5556,Over,NBA,1.5,3-Pointers,1.8,Jabari Smith,0.5214585010533748
BetMGM,-0.0614,0.4651,Under,NCAAB,1.5,3-Pointers,2.15,Kam Jones,0.436539467247086
PrizePicks,-0.0614,0.5405,Under,NBA,34.5,Points + Rebounds + Assists,1.85,Desmond Bane,0.5073444141101442
Pinnacle,-0.0614,0.5155,Over,NFL,12.5,Longest Reception,1.94,Devaughn Vele,0.48383500557413606
Pinnacle,-0.0614,0.5155,Over,NFL,11.5,Longest Reception,1.94,Breece Hall,0.48383500557413606
PrizePicks,-0.0614,0.5405,Under,NBA,31.5,Points + Rebounds + Assists,1.85,Jaylen Brown,0.5073458793139806
SugarHouse,-0.0614,0.5525,Under,NBA,30.5,Points + Assists,1.81,Anthony Davis,0.5185429838633576
Unibet,-0.0614,0.5525,Under,NBA,30.5,Points + Assists,1.81,Anthony Davis,0.5185429838633576
BetRivers,-0.0614,0.5525,Under,NBA,30.5,Points + Assists,1.81,Anthony Davis,0.5185429838633576
Underdog,-0.0614,0.5495,Under,NBA,10.5,Points,1.82,Max Christie,0.5157079093386625
Underdog,-0.0614,0.5495,Under,NBA,12.5,Points,1.82,Tim Hardaway Jr.,0.5156889729000039
Pick6,-0.0614,0.5747,Under,NBA,3.5,Assists,1.74,Herbert Jones,0.5393970936818371
Pinnacle,-0.0614,0.5155,Under,NFL,5.5,Total Kicking Points,1.94,Jake Moody,0.48383500557413606
DraftKings,-0.0615,0.6494,Over,NFL,1.5,Total Receptions,1.54,Tyler Lockett,0.6094396317460038
DraftKings,-0.0615,0.5348,Under,NBA,3.5,Rebounds,1.87,Scotty Pippen Jr.,0.5018518903973319
ESPNBet,-0.0615,0.6211,Under,NHL,0.5,Total Points,1.61,Gustav Nyquist,0.5829057989519165
Fliff,-0.0615,0.6061,Over,NBA,7.5,Assists,1.65,Dejounte Murray,0.5687624274458885
HardRock,-0.0615,0.6211,Under,NHL,0.5,Total Points,1.61,Gustav Nyquist,0.5829057989519165
Fanatics,-0.0615,0.4444,Over,NHL,0.5,Total Points,2.25,Gustav Nyquist,0.4170942010480834
ESPNBet,-0.0615,0.4444,Over,NHL,0.5,Total Points,2.25,Gustav Nyquist,0.4170942010480834
BetMGM,-0.0615,0.4444,Over,NHL,0.5,Total Points,2.25,Gustav Nyquist,0.4170942010480834
HardRock,-0.0615,0.4444,Over,NHL,0.5,Total Points,2.25,Gustav Nyquist,0.4170942010480834
ESPNBet,-0.0615,0.5348,Under,NBA,3.5,Rebounds,1.87,Scotty Pippen Jr.,0.5018518903973319
DraftKings,-0.0615,0.5128,Under,NBA,4.5,Rebounds,1.95,Carlton Carrington,0.4812669041975113
Bovada,-0.0616,0.4167,Under,NFL,1.5,Total Passing Touchdowns,2.4,Baker Mayfield,0.39098934212377695
BetMGM,-0.0616,0.6173,Over,NBA,4.5,Rebounds,1.62,Jalen Williams,0.5792436895936942
BetRivers,-0.0616,0.3802,Over,NBA,1.5,Steals,2.63,Austin Reaves,0.3568119504585421
SugarHouse,-0.0616,0.3802,Over,NBA,1.5,Blocks,2.63,Derrick White,0.3568119504585421
BetRivers,-0.0616,0.3802,Over,NBA,1.5,Blocks,2.63,Derrick White,0.3568119504585421
Unibet,-0.0616,0.3802,Over,NBA,1.5,Blocks,2.63,Derrick White,0.3568119504585421
ESPNBet,-0.0616,0.6173,Over,NBA,4.5,Rebounds,1.62,Jalen Williams,0.5792436895936942
ESPNBet,-0.0616,0.4762,Over,NBA,9.5,Rebounds + Assists,2.1,Alexandre Sarr,0.4468401486988847
Bovada,-0.0616,0.4762,Under,NFL,6.5,Total Kicking Points,2.1,Jason Myers,0.4468401486988847
BetMGM,-0.0616,0.4762,Under,NFL,6.5,Total Kicking Points,2.1,Brandon Aubrey,0.4468401486988847
ESPNBet,-0.0616,0.4762,Under,NFL,6.5,Total Kicking Points,2.1,Brandon Aubrey,0.4468401486988847
ESPNBet,-0.0616,0.4762,Over,NBA,7.5,Rebounds,2.1,P.J. Washington,0.4468401486988847
BetRivers,-0.0616,0.4167,Under,NFL,1.5,Total Passing Touchdowns,2.4,Baker Mayfield,0.39098934212377695
Unibet,-0.0616,0.4167,Under,NFL,1.5,Total Passing Touchdowns,2.4,Baker Mayfield,0.39098934212377695
DraftKings,-0.0616,0.4762,Under,NFL,3.5,Total Kicking Points,2.1,Dustin Hopkins,0.4468401486988847
Unibet,-0.0616,0.3802,Over,NBA,1.5,Steals,2.63,Austin Reaves,0.3568119504585421
Bovada,-0.0616,0.4762,Under,NFL,3.5,Total Kicking Points,2.1,Dustin Hopkins,0.4468401486988847
DraftKings,-0.0616,0.4762,Under,NFL,6.5,Total Kicking Points,2.1,Brandon Aubrey,0.4468401486988847
HardRock,-0.0616,0.4762,Under,NFL,3.5,Total Kicking Points,2.1,Dustin Hopkins,0.4468401486988847
DraftKings,-0.0616,0.4762,Over,NBA,8.5,Rebounds + Assists,2.1,Tobias Harris,0.4468401486988847
BetMGM,-0.0616,0.4762,Under,NFL,3.5,Total Kicking Points,2.1,Dustin Hopkins,0.4468401486988847
HardRock,-0.0616,0.4762,Under,NFL,6.5,Total Kicking Points,2.1,Brandon Aubrey,0.4468401486988847
HardRock,-0.0616,0.4762,Over,NBA,8.5,Rebounds + Assists,2.1,Tobias Harris,0.4468401486988847
ESPNBet,-0.0616,0.4762,Under,NFL,3.5,Total Kicking Points,2.1,Dustin Hopkins,0.4468401486988847
Unibet,-0.0616,0.4762,Under,NFL,6.5,Total Kicking Points,2.1,Jason Myers,0.4468401486988847
ESPNBet,-0.0616,0.4762,Under,NBA,3.5,Rebounds + Assists,2.1,Tim Hardaway Jr.,0.4468401486988847
Pinnacle,-0.0616,0.4762,Under,NFL,6.5,Total Kicking Points,2.1,Brandon Aubrey,0.4468401486988847
ESPNBet,-0.0616,0.4762,Over,NBA,8.5,Rebounds + Assists,2.1,Tobias Harris,0.4468401486988847
BetMGM,-0.0616,0.4762,Over,NBA,8.5,Rebounds + Assists,2.1,Tobias Harris,0.4468401486988847
ESPNBet,-0.0616,0.4762,Under,NFL,6.5,Total Kicking Points,2.1,Jason Myers,0.4468401486988847
DraftKings,-0.0616,0.4762,Under,NFL,6.5,Total Kicking Points,2.1,Jason Myers,0.4468401486988847
SugarHouse,-0.0616,0.4167,Under,NFL,1.5,Total Passing Touchdowns,2.4,Baker Mayfield,0.39098934212377695
STNSports,-0.0616,0.4167,Under,NFL,1.5,Total Passing Touchdowns,2.4,Baker Mayfield,0.39098934212377695
BetMGM,-0.0616,0.4762,Over,NBA,7.5,Rebounds,2.1,P.J. Washington,0.4468401486988847
SugarHouse,-0.0616,0.3802,Over,NBA,1.5,Steals,2.63,Austin Reaves,0.3568119504585421
BetRivers,-0.0616,0.5155,Over,NBA,13.5,Points + Rebounds,1.94,Carlton Carrington,0.4837157286879152
DraftKings,-0.0616,0.6369,Under,NHL,2.5,Total Shots on Goal,1.57,Ryan Nugent-Hopkins,0.5977382239053342
ESPNBet,-0.0616,0.4762,Under,NBA,3.5,Rebounds,2.1,Derrick White,0.4468401486988847
BetMGM,-0.0616,0.4762,Under,NBA,3.5,Rebounds,2.1,Derrick White,0.4468401486988847
BetMGM,-0.0616,0.4762,Over,NBA,1.5,3-Pointers,2.1,Georges Niang,0.4468401486988847
Bovada,-0.0616,0.4762,Over,NBA,1.5,3-Pointers,2.1,Georges Niang,0.4468401486988847
Underdog,-0.0616,0.5495,Under,NBA,17.5,Points,1.82,Immanuel Quickley,0.5156171664810258
SugarHouse,-0.0616,0.5155,Over,NBA,13.5,Points + Rebounds,1.94,Carlton Carrington,0.4837157286879152
HardRock,-0.0616,0.4762,Over,NBA,8.5,Rebounds + Assists,2.1,Jalen Green,0.4468401486988847
Pinnacle,-0.0616,0.5181,Over,NHL,0.5,Total Points,1.93,Aaron Ekblad,0.4862427415858828
Unibet,-0.0616,0.5155,Over,NBA,13.5,Points + Rebounds,1.94,Carlton Carrington,0.4837157286879152
BetMGM,-0.0616,0.4762,Over,NBA,8.5,Rebounds + Assists,2.1,Jalen Green,0.4468401486988847
BetMGM,-0.0617,0.5714,Over,NBA,14.5,Rebounds + Assists,1.75,Josh Hart,0.536178107606679
DraftKings,-0.0617,0.6944,Over,NHL,0.5,Total Points,1.44,J.T. Miller,0.6516180924234837
BetMGM,-0.0617,0.5714,Under,NBA,3.5,Rebounds,1.75,Georges Niang,0.536178107606679
DraftKings,-0.0617,0.5556,Over,NBA,12.5,Points,1.8,Rui Hachimura,0.5212824611290215
BetMGM,-0.0617,0.5714,Over,NBA,1.5,Assists,1.75,Max Christie,0.536178107606679
HardRock,-0.0617,0.5348,Under,NBA,23.5,Points,1.87,Donovan Mitchell,0.5017858821317793
Unibet,-0.0617,0.5263,Over,NBA,28.5,Points,1.9,Jayson Tatum,0.4938190053788809
Bovada,-0.0617,0.6944,Over,NHL,0.5,Total Points,1.44,J.T. Miller,0.6516180924234837
ESPNBet,-0.0617,0.5348,Under,NBA,23.5,Points,1.87,Donovan Mitchell,0.5017858821317793
SugarHouse,-0.0617,0.5348,Under,NBA,23.5,Points,1.87,Donovan Mitchell,0.5017858821317793
BetMGM,-0.0617,0.5348,Under,NBA,23.5,Points,1.87,Donovan Mitchell,0.5017858821317793
ESPNBet,-0.0617,0.5556,Over,NBA,12.5,Points,1.8,Rui Hachimura,0.5212824611290215
BetRivers,-0.0617,0.5348,Under,NBA,23.5,Points,1.87,Donovan Mitchell,0.5017858821317793
BetMGM,-0.0617,0.6944,Over,NHL,0.5,Total Points,1.44,J.T. Miller,0.6516180924234837
BetMGM,-0.0617,0.5,Over,NBA,14.5,Rebounds + Assists,2.0,Isaiah Hartenstein,0.46912932881503777
Unibet,-0.0617,0.5348,Under,NBA,23.5,Points,1.87,Donovan Mitchell,0.5017858821317793
ESPNBet,-0.0617,0.4651,Under,NHL,2.5,Total Shots on Goal,2.15,Jonathan Marchessault,0.4363961730421496
Fanatics,-0.0617,0.5348,Under,NBA,23.5,Points,1.87,Donovan Mitchell,0.5017858821317793
DraftKings,-0.0617,0.3704,Over,NBA,1.5,3-Pointers,2.7,Herbert Jones,0.3475023703390603
BetMGM,-0.0617,0.5714,Over,NBA,15.5,Rebounds + Assists,1.75,Anthony Davis,0.536178107606679
Bovada,-0.0617,0.5348,Under,NBA,23.5,Points,1.87,Donovan Mitchell,0.5017858821317793
SugarHouse,-0.0617,0.5263,Over,NBA,28.5,Points,1.9,Jayson Tatum,0.4938190053788809
HardRock,-0.0617,0.5,Over,NBA,14.5,Rebounds + Assists,2.0,Isaiah Hartenstein,0.46912932881503777
ESPNBet,-0.0617,0.5,Over,NBA,14.5,Rebounds + Assists,2.0,Isaiah Hartenstein,0.46912932881503777
BetMGM,-0.0617,0.4651,Under,NHL,2.5,Total Shots on Goal,2.15,Jonathan Marchessault,0.4363961730421496
BetRivers,-0.0617,0.5263,Over,NBA,28.5,Points,1.9,Jayson Tatum,0.4938190053788809
Fliff,-0.0617,0.5,Over,NBA,8.5,Rebounds + Assists,2.0,Derrick White,0.46912932881503777
BetMGM,-0.0617,0.4082,Under,NBA,1.5,3-Pointers,2.45,Shai Gilgeous-Alexander,0.38295952413590606
BetMGM,-0.0617,0.5714,Under,NBA,9.5,Rebounds + Assists,1.75,P.J. Washington,0.536178107606679
BetMGM,-0.0617,0.5714,Under,NBA,5.5,Rebounds + Assists,1.75,Luguentz Dort,0.536178107606679
BetMGM,-0.0617,0.6667,Under,NCAAB,1.5,Assists,1.5,Ryan Kalkbrenner,0.6255627499450601
DraftKings,-0.0617,0.4167,Under,NHL,1.5,Total Shots on Goal,2.4,Evan Rodrigues,0.3909777151857099
HardRock,-0.0617,0.5236,Under,NCAAB,0.5,3-Pointers,1.91,Dayvion McKnight,0.49124070082170873
