bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
Pinnacle,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
Fanatics,-0.0422,0.6172839506172839,Over,NHL,3.5,Total Shots on Goal,1.62,Jack Hughes,0.5912596401028277
PrizePicks,-0.0452,0.5405405405405405,Over,NFL,15.5,Total Receiving Yards,1.85,Cole Kmet,0.5161290322580646
PrizePicks,-0.0452,0.5405405405405405,Over,NFL,15.5,Total Receiving Yards,1.85,Cole Kmet,0.5161290322580646
Sleeper,-0.046,0.5586592178770949,Under,NBA,16.5,Points + Rebounds,1.79,Jaden McDaniels,0.5329815303430079
Sleeper,-0.046,0.5586592178770949,Under,NBA,16.5,Points + Rebounds,1.79,Jaden McDaniels,0.5329815303430079
Pinnacle,-0.0475,0.5291005291005292,Over,NBA,38.5,Points + Rebounds + Assists,1.89,Cade Cunningham,0.5039787798408488
Pinnacle,-0.0475,0.5291005291005292,Over,NBA,38.5,Points + Rebounds + Assists,1.89,Cade Cunningham,0.5039787798408488
PrizePicks,-0.048,0.5405405405405405,Over,NBA,53.5,Points + Rebounds + Assists,1.85,Nikola Jokic,0.5145888594164455
PrizePicks,-0.048,0.5405405405405405,Over,NBA,53.5,Points + Rebounds + Assists,1.85,Nikola Jokic,0.5145888594164455
BetMGM,-0.0534,0.5128205128205129,Under,NBA,53.5,Points + Rebounds + Assists,1.95,Nikola Jokic,0.4854111405835544
BetMGM,-0.0534,0.5128205128205129,Under,NBA,53.5,Points + Rebounds + Assists,1.95,Nikola Jokic,0.4854111405835544
HardRock,-0.0534,0.5128205128205129,Under,NBA,53.5,Points + Rebounds + Assists,1.95,Nikola Jokic,0.4854111405835544
DraftKings,-0.0543,0.6535947712418301,Under,NHL,2.5,Total Shots on Goal,1.53,Mikael Granlund,0.6180904522613065
DraftKings,-0.0543,0.6535947712418301,Under,NHL,2.5,Total Shots on Goal,1.53,Mikael Granlund,0.6180904522613065
BetMGM,-0.0555,0.5464480874316939,Over,NFL,15.5,Total Receiving Yards,1.83,Cole Kmet,0.5161290322580646
Pinnacle,-0.0555,0.5464480874316939,Over,NFL,15.5,Total Receiving Yards,1.83,Cole Kmet,0.5161290322580646
HardRock,-0.0555,0.5464480874316939,Over,NFL,15.5,Total Receiving Yards,1.83,Cole Kmet,0.5161290322580646
BetMGM,-0.0555,0.5464480874316939,Over,NFL,15.5,Total Receiving Yards,1.83,Cole Kmet,0.5161290322580646
DraftKings,-0.0555,0.5464480874316939,Over,NFL,15.5,Total Receiving Yards,1.83,Cole Kmet,0.5161290322580646
HardRock,-0.0555,0.5464480874316939,Over,NFL,15.5,Total Receiving Yards,1.83,Cole Kmet,0.5161290322580646
Sleeper,-0.0556,0.44052863436123346,Over,NHL,4.5,Total Shots on Goal,2.27,Jack Hughes,0.4160206718346253
Sleeper,-0.0556,0.44052863436123346,Over,NHL,4.5,Total Shots on Goal,2.27,Jack Hughes,0.4160206718346253
Unibet,-0.0563,0.5494505494505494,Under,NBA,39.5,Points + Rebounds + Assists,1.82,Cade Cunningham,0.5185185185185185
SugarHouse,-0.0563,0.5494505494505494,Under,NBA,39.5,Points + Rebounds + Assists,1.82,Cade Cunningham,0.5185185185185185
Unibet,-0.0563,0.5494505494505494,Under,NBA,39.5,Points + Rebounds + Assists,1.82,Cade Cunningham,0.5185185185185185
BetRivers,-0.0563,0.5494505494505494,Under,NBA,39.5,Points + Rebounds + Assists,1.82,Cade Cunningham,0.5185185185185185
BetRivers,-0.0563,0.5494505494505494,Under,NBA,39.5,Points + Rebounds + Assists,1.82,Cade Cunningham,0.5185185185185185
SugarHouse,-0.0563,0.5494505494505494,Under,NBA,39.5,Points + Rebounds + Assists,1.82,Cade Cunningham,0.5185185185185185
BetRivers,-0.0566,0.5649717514124294,Under,NBA,16.5,Points + Rebounds,1.77,Jaden McDaniels,0.5329815303430079
